value,S1,S2,time(s),
42483.29807,1,0,,后面最大的是42750
42483.29807,1,0,,
42483.29807,2,0,,
42483.30178,3,0,,
42483.30246,4,0,,
42483.30246,5,0,,
42483.30219,6,0,,
42483.30178,7,0,,
42483.30178,8,0,,
40786.46864,9,0,,
40786.46864,10,0,,
40786.46864,11,0,,
43271.22393,12,0,,
41016.37739,13,0,,
41016.37739,14,0,,
43271.22393,15,0,,
41016.37739,16,0,,
41016.37739,17,0,,
41016.37739,18,0,,
40786.46864,19,0,,
40786.46864,20,0,67.77562571,
43271.22393,21,0,64.61884284,
41016.37739,22,0,65.00544834,
41016.37739,23,0,65.10010171,
43271.22393,24,0,65.75591183,
41016.37739,25,0,62.84705496,
41016.37739,26,0,69.48280191,
41016.37739,27,0,63.44199753,
40786.46864,28,0,60.52408051,
40786.46864,29,0,61.09378982,
43271.22393,30,0,63.90374541,
41016.37739,31,0,61.02983212,
41016.37739,32,0,64.09359837,
43271.22393,33,0,61.38462591,
41016.37739,34,0,61.42491245,
41016.37739,35,0,63.6294415,
41016.37739,36,0,62.33073783,
40786.46864,37,0,62.94727921,
40786.46864,38,0,67.918607,
43271.22393,39,0,67.74021173,
41016.37739,40,0,62.61800194,
41016.37739,41,0,64.30362558,
43271.22393,42,0,63.75735116,
41016.37739,43,0,62.66343689,
41016.37739,44,0,61.91412091,
42751.23619,45,0,61.63376927,
42751.23619,46,0,62.83520794,
42751.23619,47,0,61.96423054,
38401.91942,48,0,61.44375205,
38401.91942,49,0,60.83023572,
38401.91942,50,0,62.64265633,
38401.91942,51,0,64.83415079,
38821.45041,52,0,61.00321984,
38821.45041,53,0,60.40787244,
42462.34322,54,0,61.7211504,
41123.19356,55,0,62.75579572,
41123.19356,56,0,60.32448149,
40760.58156,57,0,61.27328873,
43026.99391,58,0,63.34255862,
43026.99391,59,0,79.61315918,
42751.23619,60,0,69.64436388,
43026.99391,61,0,64.72299671,
43026.99391,62,0,65.56657839,
42462.34322,63,0,74.62375808,
41123.19356,64,0,71.00252223,
41123.19356,65,0,67.08761525,
42751.23619,66,0,63.14097977,
43026.99391,67,0,62.88308144,
43026.99391,68,0,62.42463827,
42462.34322,69,0,62.56836057,
43026.99391,70,0,67.96679664,
43026.99391,71,0,67.52442479,
42462.34322,72,0,66.91256714,
41123.19356,73,0,66.47353673,
41123.19356,74,0,64.65242457,
42751.23619,75,0,65.81690526,
43026.99391,76,0,64.76102924,
43026.99391,77,0,64.52096987,
42462.34322,78,0,64.95746946,
43026.99391,79,0,62.33648586,
43026.99391,80,0,62.58491325,
42462.34322,81,0,62.33039355,
41123.19356,82,0,63.51964283,
41123.19356,83,0,63.78281426,
42751.23619,84,0,64.21111345,
43026.99391,85,0,63.04848671,
43026.99391,86,0,65.25375795,
42462.34322,87,0,64.69393229,
43026.99391,88,0,63.53076649,
43026.99391,89,0,62.5403533,
42751.23619,90,0,63.15933847,
42751.23619,91,0,62.71324396,
42751.23619,92,0,65.28377485,
38401.91942,93,0,64.98900437,
38401.91942,94,0,63.71498942,
38401.91942,95,0,63.61307216,
38401.91942,96,0,63.4135325,
38821.45041,97,0,72.10336185,
38821.45041,98,0,74.62496185,
42462.34322,99,0,67.77881789,
41123.19356,100,0,64.24492884,
41123.19356,101,0,67.63815427,
40760.58156,102,0,62.5395875,
43026.99391,103,0,66.30926037,
43026.99391,104,0,63.03326344,
42751.23619,105,0,62.54495072,
43026.99391,106,0,62.38337111,
43026.99391,107,0,61.25342655,
42462.34322,108,0,64.47360539,
41123.19356,109,0,63.05103898,
41123.19356,110,0,62.9984982,
42751.23619,111,0,68.46962881,
43026.99391,112,0,61.93803549,
43026.99391,113,0,66.14769602,
42462.34322,114,0,63.23640347,
43026.99391,115,0,63.51576614,
43026.99391,116,0,65.64731646,
42462.34322,117,0,62.14413309,
41123.19356,118,0,63.5847733,
41123.19356,119,0,63.94028592,
42751.23619,120,0,65.72298336,
43026.99391,121,0,64.85862494,
43026.99391,122,0,63.24743366,
42462.34322,123,0,63.83063245,
43026.99391,124,0,63.21876073,
43026.99391,125,0,71.48890734,
42462.34322,126,0,65.78898144,
41123.19356,127,0,66.25361109,
41123.19356,128,0,64.97969151,
42751.23619,129,0,65.52114773,
43026.99391,130,0,61.5529232,
43026.99391,131,0,62.35989141,
42462.34322,132,0,61.94992375,
43026.99391,133,0,61.46992779,
43026.99391,134,0,62.01992631,
42751.23619,135,0,63.12992334,
42751.23619,136,0,61.89067936,
42751.23619,137,0,61.799927,
38401.91942,138,0,61.36989355,
38401.91942,139,0,61.46986437,
38401.91942,140,0,61.20992064,
38401.91942,141,0,63.21650028,
38821.45041,142,0,61.78992224,
38821.45041,143,0,63.18989038,
42462.34322,144,0,62.33992434,
41123.19356,145,0,62.17601347,
41123.19356,146,0,64.75383401,
40760.58156,147,0,66.00991654,
43026.99391,148,0,66.06991935,
43026.99391,149,0,65.34988642,
42751.23619,150,0,64.51992035,
43026.99391,151,0,63.9699192,
43026.99391,152,0,63.96992588,
42462.34322,153,0,63.12991667,
41123.19356,154,0,65.65991998,
41123.19356,155,0,64.21992159,
42751.23619,156,0,64.70991969,
43026.99391,157,0,64.98597693,
43026.99391,158,0,65.53991747,
42462.34322,159,0,64.0698874,
43026.99391,160,0,63.88157749,
43026.99391,161,0,65.45991826,
42462.34322,162,0,63.92991686,
41123.19356,163,0,63.22297883,
41123.19356,164,0,63.10047221,
42751.23619,165,0,64.77991629,
43026.99391,166,0,65.26991439,
43026.99391,167,0,64.77992821,
42462.34322,168,0,64.07991624,
43026.99391,169,0,65.66991758,
43026.99391,170,0,64.60991645,
