value,value_fix,S1,ref_S,time
47337.46131,37441.45492,0,62,97.35950184
47337.46131,38641.24175,1,62,99.07048225
47337.46131,38641.24175,2,62,99.07048225
47337.46131,37441.45492,3,62,96.84112501
47337.46131,37441.45492,4,62,96.84112501
47337.46131,37441.45492,5,62,96.84112501
47337.46131,37441.45492,6,62,96.84112501
47337.46131,38641.24175,7,62,97.51670122
47337.46131,38641.24175,8,62,97.51670122
47069.4344,38641.24175,9,62,97.51670122
47069.4344,37441.45492,10,62,96.9109199
47069.4344,37441.45492,11,62,96.9109199
47069.4344,37441.45492,12,62,96.9109199
47069.4344,37441.45492,13,62,96.9109199
47069.4344,38641.24175,14,62,99.32991409
47069.4344,37441.45492,15,62,98.18373227
47069.4344,37441.45492,16,62,98.18373227
47069.4344,38641.24175,17,62,97.25402975
47068.00872,38641.24175,18,62,97.25402975
47068.00872,38641.24175,19,62,97.25402975
47068.00872,38641.24175,20,62,97.25402975
47068.00872,37441.4632,21,62,97.93760014
47068.00872,37441.4632,22,62,97.93760014
47068.00872,37441.4632,23,62,97.93760014
47068.00872,38641.23891,24,62,95.94108582
47068.00872,38641.23891,25,62,95.94108582
47068.00872,37441.4632,26,62,99.58956099
47337.46131,38641.24175,27,62,97.79964685
47337.46131,37441.45492,28,62,96.35987067
47337.46131,37441.45492,29,62,96.35987067
47337.46131,38641.24175,30,62,96.16090298
47337.46131,37441.45492,31,62,96.89531875
47337.46131,38641.24175,32,62,96.46931291
47337.46131,38641.24175,33,62,96.46931291
47337.46131,37441.45492,34,62,96.16380501
47337.46131,37441.45492,35,62,96.16380501
47069.4344,38641.24175,36,62,97.7906456
47069.4344,37441.45492,37,62,98.10602713
47069.4344,38641.23891,38,62,102.1757386
47069.4344,37441.4632,39,62,101.8006585
47069.4344,37441.4632,40,62,101.8006585
47069.4344,37441.4632,41,62,101.8006585
47069.4344,37441.4632,42,62,101.8006585
47069.4344,37441.4632,43,62,101.8006585
47069.4344,37441.4632,44,62,101.8006585
47068.00872,37441.4632,45,62,101.8006585
47068.00872,37441.4632,46,62,101.8006585
47068.00872,38641.24175,47,62,97.24076939
47068.00872,37441.45492,48,62,98.55530334
47068.00872,37441.45492,49,62,98.55530334
47068.00872,37441.45492,50,62,98.55530334
47068.00872,37441.45492,51,62,98.55530334
47068.00872,37441.45492,52,62,98.55530334
47068.00872,37441.45492,53,62,98.55530334
47337.46131,38641.24175,54,62,100.2903755
47337.46131,37441.45492,55,62,96.5196712
47337.46131,37441.45492,56,62,96.5196712
47337.46131,38641.24175,57,62,98.82029414
47337.46131,37441.45492,58,62,101.8294683
47337.46131,37441.45492,59,62,101.8294683
47337.46131,37441.45492,60,62,101.8294683
47337.46131,38641.24175,61,62,99.73993278
47069.43439,40085.7127,63,62,96.12564349
47069.4344,38641.24175,64,62,98.10956645
47069.43439,40085.7127,65,62,106.743469
47069.43439,37441.45492,66,62,99.88729763
47069.43439,40085.72094,67,62,96.73663354
47069.43439,40085.72094,68,62,96.73663354
47069.4344,37441.45492,69,62,96.7656796
47069.4344,38641.24175,70,62,97.83509588
47069.43439,40085.7127,71,62,97.96926928
47068.00872,38641.24175,72,62,98.27106023
47068.00871,40085.72094,73,62,98.74490833
47068.00871,40085.72094,74,62,98.74490833
47068.00871,38651.98279,75,62,98.60017586
47068.00871,40085.72094,76,62,99.05517292
47068.00871,40085.72094,77,62,99.05517292
47068.00871,38651.98279,78,62,99.1995225
47068.00871,40085.72094,79,62,97.62733626
47068.00871,40085.72094,80,62,97.62733626
47264.959,37441.4632,81,62,98.36143732
47264.959,37441.4632,82,62,98.36143732
47264.959,37441.4632,83,62,98.36143732
47264.959,37441.4632,84,62,98.36143732
47264.959,38641.23891,85,62,98.37003756
47264.959,38641.23891,86,62,98.37003756
47264.959,37441.4632,87,62,99.60928559
47264.959,37441.4632,88,62,99.60928559
47264.959,37441.4632,89,62,99.60928559
46996.93209,37441.4632,90,62,99.60928559
46996.93209,37441.4632,91,62,99.60928559
46996.93209,37441.4632,92,62,99.60928559
46996.93209,37441.4632,93,62,99.60928559
46996.93209,37441.4632,94,62,99.60928559
46996.93209,37441.4632,95,62,99.60928559
46996.93209,37441.4632,96,62,99.60928559
46996.93209,37441.4632,97,62,99.60928559
46996.93209,37441.4632,98,62,99.60928559
46995.50642,37441.4632,99,62,99.60928559
46995.50642,37441.4632,100,62,99.60928559
46995.50642,37441.4632,101,62,99.60928559
46995.50642,37441.4632,102,62,99.60928559
46995.50642,37441.4632,103,62,99.60928559
46995.50642,37441.4632,104,62,99.60928559
46995.50642,37441.4632,105,62,99.60928559
46995.50642,37441.4632,106,62,99.60928559
46995.50642,37441.4632,107,62,99.60928559
47264.959,37441.4632,108,62,99.60928559
47264.959,37441.4632,109,62,99.60928559
47264.959,37441.4632,110,62,99.60928559
47264.959,37441.4632,111,62,99.60928559
47264.959,37441.4632,112,62,99.60928559
47264.959,38641.23891,113,62,98.89967299
47264.959,37441.4632,114,62,98.18884158
47264.959,37441.4632,115,62,98.18884158
47264.959,38641.23891,116,62,100.1618948
46996.93209,37441.45492,117,62,100.1597145
46996.93209,37441.45492,118,62,100.1597145
46996.93209,37441.45492,119,62,100.1597145
46996.93209,37441.45492,120,62,100.1597145
46996.93209,37441.45492,121,62,100.1597145
46996.93209,37441.45492,122,62,100.1597145
46996.93209,37441.45492,123,62,100.1597145
46996.93209,37441.45492,124,62,100.1597145
46996.93209,37441.45492,125,62,100.1597145
46995.50642,37441.45492,126,62,100.1597145
46995.50642,37441.45492,127,62,100.1597145
46995.50642,37441.45492,128,62,100.1597145
46995.50642,37441.45492,129,62,100.1597145
46995.50642,37441.45492,130,62,100.1597145
46995.50642,37441.45492,131,62,100.1597145
46995.50642,37441.45492,132,62,100.1597145
46995.50642,37441.45492,133,62,100.1597145
46995.50642,37441.45492,134,62,100.1597145
47264.959,37441.45492,135,62,100.1597145
47264.959,37441.45492,136,62,100.1597145
47264.959,37441.45492,137,62,100.1597145
47264.959,37441.45492,138,62,100.1597145
47264.959,37441.45492,139,62,100.1597145
47264.959,38641.23891,140,62,97.11100483
47264.959,37441.4632,141,62,97.53500724
47264.959,37441.4632,142,62,97.53500724
47264.959,38641.23891,143,62,100.9731894
46996.93209,37441.45492,144,62,100.2396748
46996.93209,37441.45492,145,62,100.2396748
46996.93209,37441.45492,146,62,100.2396748
46996.93209,37441.45492,147,62,100.2396748
46996.93209,37441.45492,148,62,100.2396748
46996.93209,37441.45492,149,62,100.2396748
46996.93209,37441.45492,150,62,100.2396748
46996.93209,37441.45492,151,62,100.2396748
46996.93209,37441.45492,152,62,100.2396748
46995.50642,37441.45492,153,62,100.2396748
46995.50642,37441.45492,154,62,100.2396748
46995.50642,37441.45492,155,62,100.2396748
46995.50642,37441.45492,156,62,100.2396748
46995.50642,37441.45492,157,62,100.2396748
46995.50642,37441.45492,158,62,100.2396748
46995.50642,37441.45492,159,62,100.2396748
46995.50642,37441.45492,160,62,100.2396748
46995.50642,37441.45492,161,62,100.2396748
47262.05522,37441.45492,162,62,100.2396748
47262.05522,38641.23891,163,62,100.7300949
47262.05522,38641.23891,164,62,100.7300949
47262.05522,37441.4632,165,62,100.5450115
47262.05522,38641.23891,166,62,99.21494794
47262.05522,38641.23891,167,62,99.21494794
47262.05522,37441.4632,168,62,99.16994691
47262.05522,38641.23891,169,62,98.3297236
47262.05522,38641.23891,170,62,98.3297236
46994.02831,37441.45492,171,62,99.67094469
46994.02831,37441.45492,172,62,99.67094469
46994.02831,37441.45492,173,62,99.67094469
46994.02831,37441.45492,174,62,99.67094469
46994.02831,37441.45492,175,62,99.67094469
46994.02831,37441.45492,176,62,99.67094469
46994.02831,37441.45492,177,62,99.67094469
46994.02831,37441.45492,178,62,99.67094469
46994.02831,37441.45492,179,62,99.67094469
46992.60264,37441.45492,180,62,99.67094469
46992.60264,37441.45492,181,62,99.67094469
46992.60264,37441.45492,182,62,99.67094469
46992.60264,37441.45492,183,62,99.67094469
46992.60264,37441.45492,184,62,99.67094469
46992.60264,37441.45492,185,62,99.67094469
46992.60264,37441.45492,186,62,99.67094469
46992.60264,37441.45492,187,62,99.67094469
46992.60264,37441.45492,188,62,99.67094469
47262.05522,37441.45492,189,62,99.67094469
47262.05522,37441.45492,190,62,99.67094469
47262.05522,37441.45492,191,62,99.67094469
47262.05522,37441.45492,192,62,99.67094469
47262.05522,37441.45492,193,62,99.67094469
47262.05522,38641.23891,194,62,100.4316568
47262.05522,37441.4632,195,62,102.2395048
47262.05522,37441.4632,196,62,102.2395048
47262.05522,38641.23891,197,62,100.4846334
46994.02831,37441.45492,198,62,100.2108064
46994.02831,37441.45492,199,62,100.2108064
46994.02831,37441.45492,200,62,100.2108064
46994.02831,37441.45492,201,62,100.2108064
46994.02831,37441.45492,202,62,100.2108064
46994.02831,37441.45492,203,62,100.2108064
46994.02831,37441.45492,204,62,100.2108064
46994.02831,37441.45492,205,62,100.2108064
46994.02831,37441.45492,206,62,100.2108064
46992.60264,37441.45492,207,62,100.2108064
46992.60264,37441.45492,208,62,100.2108064
46992.60264,37441.45492,209,62,100.2108064
46992.60264,37441.45492,210,62,100.2108064
46992.60264,37441.45492,211,62,100.2108064
46992.60264,37441.45492,212,62,100.2108064
46992.60264,37441.45492,213,62,100.2108064
