CMDLINE D:\Users\chen_\Anaconda3\python.exe mip_scenario_noFinance3.py
MEM 0.445312 1599793534.8928
MEM 20.246094 1599793534.9935
MEM 31.570312 1599793535.0943
MEM 39.636719 1599793535.1950
MEM 46.914062 1599793535.2957
MEM 51.804688 1599793535.3964
MEM 53.539062 1599793535.4972
MEM 55.328125 1599793535.5979
MEM 56.914062 1599793535.6986
MEM 58.691406 1599793535.7993
MEM 60.480469 1599793535.9001
MEM 62.277344 1599793536.0008
MEM 64.101562 1599793536.1016
MEM 65.902344 1599793536.2023
MEM 67.699219 1599793536.3030
MEM 69.515625 1599793536.4037
MEM 71.312500 1599793536.5045
MEM 73.109375 1599793536.6052
MEM 74.933594 1599793536.7059
MEM 76.730469 1599793536.8067
MEM 78.527344 1599793536.9074
MEM 80.312500 1599793537.0081
MEM 82.121094 1599793537.1089
MEM 83.917969 1599793537.2096
MEM 85.707031 1599793537.3103
MEM 87.523438 1599793537.4110
MEM 89.312500 1599793537.5118
MEM 91.101562 1599793537.6125
MEM 92.898438 1599793537.7132
MEM 94.722656 1599793537.8140
MEM 96.519531 1599793537.9147
MEM 98.316406 1599793538.0154
MEM 100.132812 1599793538.1162
MEM 101.925781 1599793538.2169
MEM 103.718750 1599793538.3176
MEM 105.468750 1599793538.4183
MEM 107.265625 1599793538.5191
MEM 109.058594 1599793538.6198
MEM 110.843750 1599793538.7206
MEM 112.648438 1599793538.8213
MEM 114.437500 1599793538.9220
MEM 116.230469 1599793539.0227
MEM 118.031250 1599793539.1235
MEM 119.824219 1599793539.2242
MEM 121.609375 1599793539.3249
MEM 123.398438 1599793539.4257
MEM 125.207031 1599793539.5264
MEM 127.000000 1599793539.6271
MEM 128.773438 1599793539.7278
MEM 130.578125 1599793539.8286
MEM 132.363281 1599793539.9293
MEM 134.152344 1599793540.0300
MEM 135.941406 1599793540.1308
MEM 137.746094 1599793540.2315
MEM 139.535156 1599793540.3322
MEM 141.320312 1599793540.4330
MEM 143.132812 1599793540.5337
MEM 144.921875 1599793540.6344
MEM 146.703125 1599793540.7352
MEM 148.515625 1599793540.8359
MEM 150.308594 1599793540.9366
MEM 152.101562 1599793541.0374
MEM 153.894531 1599793541.1381
MEM 155.695312 1599793541.2388
MEM 157.484375 1599793541.3395
MEM 159.269531 1599793541.4403
MEM 161.082031 1599793541.5410
MEM 162.875000 1599793541.6417
MEM 164.652344 1599793541.7425
MEM 166.437500 1599793541.8432
MEM 168.242188 1599793541.9439
MEM 170.035156 1599793542.0447
MEM 171.820312 1599793542.1454
MEM 173.632812 1599793542.2461
MEM 175.421875 1599793542.3468
MEM 177.210938 1599793542.4476
MEM 179.019531 1599793542.5483
MEM 180.804688 1599793542.6490
MEM 182.589844 1599793542.7497
MEM 184.378906 1599793542.8505
MEM 186.183594 1599793542.9512
MEM 187.968750 1599793543.0520
MEM 189.761719 1599793543.1527
MEM 191.562500 1599793543.2534
MEM 193.351562 1599793543.3542
